Steps,Mean,Standard Deviation
0,0.00019102587303492096,0.06972753509085632
1,-0.0002957905676227065,0.06964615707674693
2,0.0001506504260170403,0.06926307310640482
3,0.00018698091923677066,0.06967511999490347
4,9.498787951518021e-05,0.06923466234257425
5,0.00013975017400695867,0.0697827467646086
6,0.00014830747629905074,0.06961501990965167
7,0.00015908923556942232,0.06960841829723616
8,0.00013049305172206912,0.06971635008751202
9,0.00021710087603504,0.06956863752973085
10,0.00013442196087843465,0.06970063288523186
11,0.00016594484579383182,0.06977058834803868
12,-0.00028313634945397874,0.06937350219458942
13,-0.00027200218408736214,0.06976767026543709
14,-0.00019940175207008168,0.06954109013913795
15,-0.0002693676947077877,0.07009905841330696
16,-0.0002940939157566289,0.06982388341020014
17,-0.0002826086403456135,0.06940156584383311
18,0.0002262414496579863,0.06978498808035756
19,-0.0002843103084123372,0.06984188645869235
20,-0.00028348671546861724,0.07008226448093864
21,-0.00032485424216968726,0.07002991726154906
22,-0.0003086816992679727,0.07039602295874865
23,-0.0002924509540381624,0.06918057373700798
24,-0.00035485985839433485,0.06863190416895011
25,-0.0003805213968558714,0.06803069638397592
26,-0.00026690642025680724,0.06984326870051988
27,-0.000314015096603865,0.07010823637846593
28,2.1740837633505084e-05,0.06899916876192859
29,-0.0004314435617424717,0.07048215523946898
30,7.072727709108306e-05,0.07013878597971807
31,-2.1093411736469944e-05,0.06935359751384416
32,-1.5760758430337157e-05,0.06953001943967732
33,-9.228904356174188e-05,0.0695049948015344
34,-7.0889475579031654e-06,0.06974228384561741
35,4.0901404056161766e-05,0.06964861283244103
36,6.744324972998899e-05,0.06977678723608083
37,0.00015733231729269146,0.06931592308910509
38,0.00019799851194047784,0.06950156493667972
39,0.00016922736109444567,0.06965889334711882
40,0.000122229137165487,0.06981600611456809
41,0.0001198303132125288,0.06884343329435026
42,0.00012568928357134407,0.06905174640528795
43,0.00016975375015000562,0.06983083948302651
44,0.00017326979479179145,0.07021305094417381
45,0.0003036457458298296,0.06973690556061667
46,0.00021317549501980219,0.06947186354252069
47,0.00016301720868834604,0.06960130901244956
48,0.00015135348613944252,0.06969601251787044
49,0.00013277911916476684,0.0699008896926648
50,0.00013875915036601341,0.06983997130448799
51,0.000219208808352335,0.069861946106968
52,0.00018785793831753274,0.06940981370333132
53,0.00015486758670346627,0.07044531080020616
54,0.0001994039841593667,0.070695921130841
55,0.00025096927877114894,0.07058344497858948
56,-0.00027405544221768943,0.07044522685732849
57,-0.00019535725429017128,0.0699728755804088
58,-0.0002009269170766826,0.06996232461740359
59,-0.0001924287771510865,0.0696603622142603
60,-0.00020473430937237457,0.06939761035840673
61,0.00011168628345133673,0.06965678576845362
62,0.00011924300972038981,0.07071525283798263
63,3.070553222128821e-05,0.0703503995327493
64,0.0003051687267490671,0.07003536672151534
65,-0.00023473447737909297,0.06932142782302178
66,-0.000178018456738269,0.07067730429601485
67,-0.00022647219488779543,0.06997907713396573
