Steps,Mean,Standard Deviation
0,-0.00021322413958623334,0.06477799847313867
1,-0.0006970991695867134,0.06384584151696783
2,-0.00024914544232707724,0.06467102872262355
3,-0.00021410490567849084,0.06420572238431324
4,-0.00030650588009408143,0.06339037275275619
5,-0.00026057276916430667,0.06416536736386745
6,-0.00025348053568857097,0.06385756918733947
7,-0.000244456895310325,0.06438543241420246
8,-0.00027234925358805747,0.06375169637099938
9,-0.00018539192627082033,0.06493378149496717
10,-0.00026701416022656367,0.06454328186627484
11,-0.0002365467287476599,0.06392665426501243
12,-0.0006854999519992318,0.06304775168832362
13,-0.0006750691931070897,0.06440091828303798
14,-0.0006003611097777565,0.0642358786588716
15,-0.0006712042912686603,0.06495127994663673
16,-0.0006978049488791819,0.06413321784946033
17,-0.0006852066433062928,0.06492900897541025
18,-0.00017414217827485236,0.06353499192263905
19,-0.0006863809100945613,0.06411805971311157
20,-0.0006857331397302357,0.06395756321420927
21,-0.0007260449527192435,0.06473466897914666
22,-0.0007122166034656553,0.0649838542231309
23,-0.0006932908846541546,0.06457691799373576
24,-0.0007562256516104259,0.0644791450196269
25,-0.0007824139106225701,0.06325376215050284
26,-0.0006684501032016512,0.06376340813084035
27,-0.0007156162338597418,0.06410794365296531
28,-0.00038121605145682337,0.06277667675420666
29,-0.0008321043776700427,0.0644438543346237
30,-0.0003319963999423991,0.06477999273442686
31,-0.00042035779772476374,0.06488659864255872
32,-0.00041660732971727545,0.06397986470402459
33,-0.0004948916142658282,0.06404634955848075
34,-0.00040764275428406847,0.06473669124770322
35,-0.00036105983295732735,0.06427665993447185
36,-0.00033457720923534787,0.06504456660616549
37,-0.0002442801324821197,0.06482541973259505
38,-0.0002039664954639274,0.06509443056838635
39,-0.0002321510104161665,0.06450849969464822
40,-0.000279206691307061,0.06448342925287762
41,-0.00028207420918734713,0.06447925706979651
42,-0.00027750446407142515,0.06410996445973423
43,-0.00023197619161906591,0.06520773259732399
44,-0.00022734692555080886,0.06426530775632935
45,-9.867335477367652e-05,0.06395422487737737
46,-0.00018855548888782213,0.0653789022004881
47,-0.0002402946287140594,0.06505455322030439
48,-0.0002484423990783852,0.06442764802150633
49,-0.00027117652282436527,0.06495459506391643
50,-0.00026267707483319726,0.06382566236200483
51,-0.0001818191811068976,0.064142192033118
52,-0.0002159232467719484,0.06453855625511838
53,-0.00024809249747995957,0.0645678406016847
54,-0.00020355716891470255,0.0652041098156697
55,-0.0001531063937022993,0.06469576932168364
56,-0.0006761848989583833,0.06541305444318751
57,-0.0005966096817549081,0.0641344435673394
58,-0.0006021792108673738,0.06486531567595534
59,-0.0005957320837133394,0.0648366444732964
60,-0.0006056935390966256,0.06444096113299627
61,-0.00028957351317621084,0.06393073088589543
62,-0.0002816653866461864,0.06486345170868182
63,-0.00037096248739979844,0.06497321974144651
64,-9.703321653146468e-05,0.0646311231216618
65,-0.0006366304900878414,0.0651891904182573
66,-0.0005803845821533145,0.06471410675644357
